ID,Q1_Emirate,Q2_Age Group,Q3_Gender,Q4_Monthly Disposable Income for Perfumes,Q5_Occupation,Q6_Shopping Frequency,Q7_Recent Change,Q8_Price Importance,Q9_Seek Discounts,Q10_Quality Influence,Q11_Pay More For Quality,Q12_Ingredient Attention,Q13_Drawn To Specific Ingredients,Q14_Social Recommendation Effect,Q15_Align With Expectations,Q16_Brand Image Importance,Q17_Prefer Trusted Brands,Q18_Convenience Importance,Q19_Prefer Online Shopping,Q20_Shopping Style Persona Anchor,Q21_Reaction To Income Increase,Q22_Reaction To New Launches,Q23_Influencer Purchase Likelihood,Q24_Store Decision Factor,Q25_Requested Products/Services,Q26_Additional Feedback
11,Umm Al Quwain,31-35,Male,Less than 200 Dhs,General Emoloyee,Every 3 months,A decrease in disposable income,Completely,Rarely,Extremely important,Neutral,Neutral,Slightly,Not important at all,Never,Very much,Never,Very much,Often,I buy products mostly based on social or professional obligations and expectations as gifts to people. (Obligati),I save most of my income and spend cautiously.,I wait for reviews before making a purchase.,1,Authentic brands and easy returns.,Extend loyalty tiers with birthday perks.,More sample packs with purchases.
12,Fujairah,Under 21,Male,400–800 Dhs,Retired,Yearly,"A sudden increase in income (e.g., a raise, bonus, or new job)",Slightly,Often,Very much,"Yes, sometimes",Moderately,Moderately,Not important at all,Never,Slightly important,Often,Slightly important,Never,I look for unique or exotic fragrances and products that stand out and feel rare. (Exotica Seekers),"I spend more on luxury items, including perfumes and beauty products.",I only buy if the product is aligned with my preferences and budget.,5,Authentic brands and easy returns.,Refill options and eco-friendly packaging.,Longer return window for unopened items.
13,Umm Al Quwain,31-35,Prefer not to say,200-400 Dhs,Entrepreneur,In Eids and seasons,A decrease in disposable income,Not important at all,Rarely,Very important,"Yes, always",Moderately,Not at all,Not at all,Never,Very important,Rarely,Slightly important,Rarely,I enjoy occasional splurges on high-end products but look for discounts or value. (Aspirational Splurgers),I save most of my income and spend cautiously.,I rarely pay attention to new launches.,1,Convenient location and parking.,Refill options and eco-friendly packaging.,Price match guarantee would help.
14,Dubai,Over 50,Prefer not to say,400–800 Dhs,Law,In Eids and seasons,A decrease in disposable income,Moderately,Never,Not important at all,"Yes, sometimes",Extremely important,Completely,Slightly important,Always,Moderately,Always,Moderately,Always,"I enjoy exploring niche, artisanal, or unique products that showcase craftsmanship. (Refined Connoisseurs)","I spend more on luxury items, including perfumes and beauty products.",I rarely pay attention to new launches.,5,Exclusive releases and tester availability.,Refill options and eco-friendly packaging.,More sample packs with purchases.
15,Fujairah,Over 50,Female,200-400 Dhs,Health,Every 6 months,"A sudden increase in income (e.g., a raise, bonus, or new job)",Very important,Never,Not important at all,"Yes, always",Very important,Completely,Neutral,Never,Very important,Never,Very much,Rarely,"I prioritize convenience and prefer quick, hassle-free shopping experiences. (Seamless Shoppers)",I increase my spending slightly but remain cautious.,I rarely pay attention to new launches.,1,Fast checkout and loyalty rewards.,Add WhatsApp virtual consultations.,Improve website speed and filters.
16,Abu Dhabi,Over 50,Female,800 Dhs and above,Banking and Finance,In Eids and seasons,"A change in employment status (e.g., from unemployed to employed)",Completely,Often,Very important,"Yes, always",Neutral,Completely,Very much,Always,Completely,Always,Very much,Often,"I enjoy exploring niche, artisanal, or unique products that showcase craftsmanship. (Refined Connoisseurs)",I save most of my income and spend cautiously.,I get excited and want to try them immediately.,4,Fast checkout and loyalty rewards.,Extend loyalty tiers with birthday perks.,Improve website speed and filters.
17,Abu Dhabi,41-50,Female,800 Dhs and above,Education,Monthly,No significant change in income,Slightly,Rarely,Not important at all,"No, not often",Completely,Sometimes,Neutral,Rarely,Slightly,Often,Neutral,Rarely,I prefer trusted brands and products that are familiar and reliable. (Dependables),"I spend more on luxury items, including perfumes and beauty products.",I only buy if the product is aligned with my preferences and budget.,3,Authentic brands and easy returns.,Extend loyalty tiers with birthday perks.,More sample packs with purchases.
18,Sharjah,31-35,Female,400–800 Dhs,Banking and Finance,Weekly,No significant change in income,Not at all,Sometimes,Very important,"Yes, sometimes",Neutral,Not at all,Slightly important,Sometimes,Very important,Always,Completely,Always,"I value understated elegance and focus on quality, but I don’t spend as much as I used to. (Sprezzatura)",I save most of my income and spend cautiously.,I rarely pay attention to new launches.,4,Authentic brands and easy returns.,Travel-size discovery sets.,Longer return window for unopened items.
19,Sharjah,Under 21,Female,400–800 Dhs,Retired,Monthly,A decrease in disposable income,Completely,Often,Moderately,"Yes, always",Very important,Very much,Not important at all,Never,Completely,Never,Moderately,Often,"I appreciate luxury and am willing to invest in premium, high-quality products. (Luxe Enthusiasts)",I save most of my income and spend cautiously.,I wait for reviews before making a purchase.,5,Fast checkout and loyalty rewards.,Travel-size discovery sets.,Price match guarantee would help.
20,Umm Al Quwain,Over 50,Female,Less than 200 Dhs,Law,Weekly,A decrease in disposable income,Not at all,Sometimes,Very important,"Yes, sometimes",Completely,Sometimes,Not at all,Always,Very much,Never,Moderately,Sometimes,I am always looking for the best deals and prioritize affordability in my purchases. (Value Hunters),I save most of my income and spend cautiously.,I only buy if the product is aligned with my preferences and budget.,5,Authentic brands and easy returns.,Offer student and family bundles.,Price match guarantee would help.
