RespondentID,Q1_Emirate,Q2_Age Group,Q3_Gender,Q4_Monthly DisposableI ncome for Perfumes,Q5_Occupation,Q6_Shopping Frequency,Q7_Recent Change,Q8_Price Importance,Q9_Seek Discounts,Q10_Quality Influence,Q11_Pay More For Quality,Q12_Ingredient Attention,Q13_Drawn To Specific Ingredients,Q14_Social Recommendation Effect,Q15_Align With Expectations,Q16_Brand Image Importance,Q17_Prefer Trusted Brands,Q18_Convenience Importance,Q19_Prefer Online Shopping,Q20_Shopping Style Persona Anchor,Q21_Reaction To Income Increase,Q22_Reaction To New Launches,Q23_Influencer Purchase Likelihood,Q24_Most Important Factor,Q25_Products Or Services Wanted,Q26_Additional Feedback
11,Dubai,Under 21,Female,200-400 Dhs,Marketing / Media,Every 3 months,A decrease in disposable income,Somewhat important,Sometimes,Very much,"Yes, sometimes",Often,Never,Moderately,Often,Somewhat important,Often,Very important,Never,I enjoy occasional splurges on high-end products but look for discounts or value. (Aspirational Splurgers),I increase my spending slightly but remain cautious.,I only buy if the product is aligned with my preferences and budget.,4,Online-to-store pickup and fair pricing.,Workshops on layering scents.,Extend loyalty tiers with birthday perks.
12,Dubai,21-25,Female,400–800 Dhs,Health,Every 3 months,No significant change in income,Not important at all,Often,Completely,"Yes, sometimes",Sometimes,Sometimes,Not at all,Rarely,Neutral,Always,Extremely important,Sometimes,"I enjoy exploring niche, artisanal, or unique products that showcase craftsmanship. (Refined Connoisseurs)",I increase my spending slightly but remain cautious.,I get excited and want to try them immediately.,2,Convenient location and parking.,Workshops on layering scents.,Improve stock updates online.
13,Abu Dhabi,26-30,Female,400–800 Dhs,Health,In Eids and seasons,A sudden increase in income,Very important,Never,Moderately,"No, not often",Sometimes,Rarely,Very much,Sometimes,Somewhat important,Sometimes,Somewhat important,Never,I prefer trusted brands and products that are familiar and reliable. (Dependables),"I spend more on luxury items, including perfumes and beauty products.",I get excited and want to try them immediately.,4,Exclusive releases and tester availability.,Travel-size discovery sets.,Improve stock updates online.
14,Abu Dhabi,31-35,Male,200-400 Dhs,Health,Every 3 months,A sudden increase in income,Neutral,Sometimes,Moderately,"Yes, sometimes",Always,Often,Slightly,Never,Neutral,Rarely,Neutral,Rarely,I look for unique or exotic fragrances and products that stand out and feel rare. (Exotica Seekers),"I spend more on luxury items, including perfumes and beauty products.",I get excited and want to try them immediately.,1,Online-to-store pickup and fair pricing.,More niche fragrance houses.,Improve stock updates online.
15,Sharjah,21-25,Male,200-400 Dhs,Entrepreneur,Every 3 months,A change in employment status,Somewhat important,Rarely,Completely,"Yes, sometimes",Sometimes,Often,Not at all,Sometimes,Not important at all,Often,Neutral,Often,I enjoy occasional splurges on high-end products but look for discounts or value. (Aspirational Splurgers),"I spend more on luxury items, including perfumes and beauty products.",I wait for reviews before making a purchase.,5,Exclusive releases and tester availability.,Refill options and eco-friendly packaging.,Add WhatsApp virtual consultations.
16,Sharjah,26-30,Male,400–800 Dhs,General Employee,Every 6 months,A sudden increase in income,Very important,Often,Very much,Neutral,Often,Always,Completely,Never,Very important,Never,Extremely important,Often,I look for unique or exotic fragrances and products that stand out and feel rare. (Exotica Seekers),I increase my spending slightly but remain cautious.,I get excited and want to try them immediately.,3,Fast checkout and loyalty rewards.,Personalized engraving for gifts.,Improve stock updates online.
17,Dubai,21-25,Male,Less than 200 Dhs,Health,Monthly,A change in employment status,Neutral,Always,Moderately,Neutral,Always,Always,Completely,Often,Very important,Sometimes,Extremely important,Sometimes,I prefer trusted brands and products that are familiar and reliable. (Dependables),I increase my spending slightly but remain cautious.,I only buy if the product is aligned with my preferences and budget.,3,Product variety and staff knowledge.,Arabic oud blends with lighter sillage.,Add WhatsApp virtual consultations.
18,Ajman,26-30,Female,Less than 200 Dhs,Marketing / Media,Every 6 months,A decrease in disposable income,Extremely important,Often,Not at all,"Yes, always",Rarely,Rarely,Completely,Often,Extremely important,Sometimes,Extremely important,Sometimes,I look for unique or exotic fragrances and products that stand out and feel rare. (Exotica Seekers),"I spend more on luxury items, including perfumes and beauty products.",I get excited and want to try them immediately.,5,Fast checkout and loyalty rewards.,Personalized engraving for gifts.,Add WhatsApp virtual consultations.
19,Abu Dhabi,21-25,Male,400–800 Dhs,Self-employed,Every 3 months,No significant change in income,Neutral,Sometimes,Not at all,"Yes, sometimes",Always,Often,Not at all,Often,Very important,Sometimes,Not important at all,Rarely,I look for unique or exotic fragrances and products that stand out and feel rare. (Exotica Seekers),I increase my spending slightly but remain cautious.,I rarely pay attention to new launches.,4,Fast checkout and loyalty rewards.,Arabic oud blends with lighter sillage.,Add WhatsApp virtual consultations.
20,Dubai,26-30,Female,400–800 Dhs,Retired,Every 3 months,A change in employment status,Not important at all,Often,Slightly,"Yes, sometimes",Never,Often,Completely,Sometimes,Not important at all,Often,Neutral,Often,I look for unique or exotic fragrances and products that stand out and feel rare. (Exotica Seekers),I increase my spending slightly but remain cautious.,I only buy if the product is aligned with my preferences and budget.,3,Online-to-store pickup and fair pricing.,Personalized engraving for gifts.,Add WhatsApp virtual consultations.
21,Abu Dhabi,26-30,Female,800 Dhs and above,Entrepreneur,Every 6 months,A decrease in disposable income,Neutral,Often,Very much,Neutral,Rarely,Rarely,Very much,Never,Somewhat important,Never,Not important at all,Sometimes,I look for unique or exotic fragrances and products that stand out and feel rare. (Exotica Seekers),"I spend more on luxury items, including perfumes and beauty products.",I wait for reviews before making a purchase.,3,Exclusive releases and tester availability.,Personalized engraving for gifts.,Improve stock updates online.
22,Dubai,31-35,Female,400–800 Dhs,Engineering,Every 3 months,No significant change in income,Very important,Often,Not at all,"No, not often",Never,Sometimes,Not at all,Sometimes,Somewhat important,Often,Somewhat important,Always,"I prioritize convenience and prefer quick, hassle-free shopping experiences. (Seamless Shoppers)","I spend more on luxury items, including perfumes and beauty products.",I wait for reviews before making a purchase.,4,Authentic brands and easy returns.,Personalized engraving for gifts.,Add WhatsApp virtual consultations.
23,Abu Dhabi,31-35,Male,Less than 200 Dhs,Unemployed,Every 6 months,A decrease in disposable income,Somewhat important,Sometimes,Very much,"Yes, sometimes",Sometimes,Always,Not at all,Often,Extremely important,Often,Somewhat important,Rarely,I look for unique or exotic fragrances and products that stand out and feel rare. (Exotica Seekers),I increase my spending slightly but remain cautious.,I wait for reviews before making a purchase.,1,Fast checkout and loyalty rewards.,Workshops on layering scents.,Offer student and family bundles.
24,Umm Al Quwain,21-25,Male,200-400 Dhs,Entrepreneur,Weekly,No significant change in income,Extremely important,Often,Very much,"No, not often",Often,Sometimes,Moderately,Always,Extremely important,Often,Extremely important,Sometimes,"I appreciate luxury and am willing to invest in premium, high-quality products. (Luxe Enthusiasts)",I save most of my income and spend cautiously.,I wait for reviews before making a purchase.,3,Authentic brands and easy returns.,Refill options and eco-friendly packaging.,Offer student and family bundles.
25,Dubai,26-30,Male,Less than 200 Dhs,Engineering,Every 3 months,A sudden increase in income,Somewhat important,Often,Slightly,"Yes, always",Sometimes,Often,Moderately,Never,Not important at all,Always,Extremely important,Always,I am always looking for the best deals and prioritize affordability in my purchases. (Value Hunters),I increase my spending slightly but remain cautious.,I only buy if the product is aligned with my preferences and budget.,3,Fast checkout and loyalty rewards.,Travel-size discovery sets.,Extend loyalty tiers with birthday perks.
26,Dubai,41-50,Male,400–800 Dhs,General Employee,Monthly,A decrease in disposable income,Somewhat important,Sometimes,Not at all,"Yes, always",Sometimes,Sometimes,Very much,Often,Extremely important,Sometimes,Extremely important,Always,"I value understated elegance and focus on quality, but I don’t spend as much as I used to. (Sprezzatura)",I save most of my income and spend cautiously.,I wait for reviews before making a purchase.,4,Fast checkout and loyalty rewards.,Workshops on layering scents.,Add WhatsApp virtual consultations.
27,Sharjah,Over 50,Female,800 Dhs and above,Senior & Managerial positions,Every 3 months,No significant change in income,Not important at all,Sometimes,Completely,Neutral,Sometimes,Rarely,Completely,Rarely,Neutral,Sometimes,Neutral,Often,I am always looking for the best deals and prioritize affordability in my purchases. (Value Hunters),I save most of my income and spend cautiously.,I rarely pay attention to new launches.,2,Authentic brands and easy returns.,Travel-size discovery sets.,Longer return window for unopened items.
28,Dubai,36–40,Male,800 Dhs and above,Senior & Managerial positions,Every 3 months,A sudden increase in income,Extremely important,Sometimes,Not at all,"Yes, always",Sometimes,Always,Slightly,Always,Neutral,Often,Neutral,Often,"I spend more on perfumes and cosmetics after a rise in income or financial improvements, as a sign of reaching a new status. (Ascent Beautifiers)","I spend more on luxury items, including perfumes and beauty products.",I only buy if the product is aligned with my preferences and budget.,3,Fast checkout and loyalty rewards.,Travel-size discovery sets.,More samples with purchases.
29,Abu Dhabi,26-30,Male,400–800 Dhs,Self-employed,Every 3 months,A sudden increase in income,Neutral,Often,Completely,"Yes, always",Always,Sometimes,Moderately,Rarely,Not important at all,Rarely,Not important at all,Always,I prefer trusted brands and products that are familiar and reliable. (Dependables),I save most of my income and spend cautiously.,I get excited and want to try them immediately.,3,Convenient location and parking.,More niche fragrance houses.,Improve stock updates online.
30,Abu Dhabi,36–40,Female,800 Dhs and above,General Employee,Monthly,A change in employment status,Somewhat important,Never,Not at all,"Yes, always",Often,Never,Completely,Rarely,Extremely important,Rarely,Neutral,Often,"I spend more on perfumes and cosmetics after a rise in income or financial improvements, as a sign of reaching a new status. (Ascent Beautifiers)",I increase my spending slightly but remain cautious.,I only buy if the product is aligned with my preferences and budget.,3,Exclusive releases and tester availability.,Arabic oud blends with lighter sillage.,Improve stock updates online.
31,Sharjah,41-50,Female,400–800 Dhs,Customer Service and Sales,Every 3 months,No significant change in income,Somewhat important,Sometimes,Slightly,"Yes, sometimes",Often,Never,Slightly,Always,Extremely important,Always,Extremely important,Sometimes,"I appreciate luxury and am willing to invest in premium, high-quality products. (Luxe Enthusiasts)",I save most of my income and spend cautiously.,I only buy if the product is aligned with my preferences and budget.,4,Online-to-store pickup and fair pricing.,More niche fragrance houses.,More samples with purchases.
32,Dubai,21-25,Female,800 Dhs and above,Education,Every 6 months,No significant change in income,Not important at all,Sometimes,Completely,"No, not often",Never,Sometimes,Very much,Often,Extremely important,Often,Very important,Often,"I spend more on perfumes and cosmetics after a rise in income or financial improvements, as a sign of reaching a new status. (Ascent Beautifiers)",I save most of my income and spend cautiously.,I only buy if the product is aligned with my preferences and budget.,3,Exclusive releases and tester availability.,Workshops on layering scents.,Longer return window for unopened items.
33,Fujairah,36–40,Male,400–800 Dhs,Senior & Managerial positions,In Eids and seasons,No significant change in income,Extremely important,Sometimes,Completely,Neutral,Always,Always,Very much,Sometimes,Neutral,Rarely,Very important,Often,I prefer trusted brands and products that are familiar and reliable. (Dependables),I save most of my income and spend cautiously.,I only buy if the product is aligned with my preferences and budget.,4,Convenient location and parking.,Refill options and eco-friendly packaging.,More samples with purchases.
34,Abu Dhabi,41-50,Male,800 Dhs and above,Unemployed,Every 3 months,A decrease in disposable income,Neutral,Never,Moderately,"No, not often",Often,Rarely,Slightly,Always,Not important at all,Always,Extremely important,Never,I look for unique or exotic fragrances and products that stand out and feel rare. (Exotica Seekers),I increase my spending slightly but remain cautious.,I get excited and want to try them immediately.,5,Convenient location and parking.,Workshops on layering scents.,Longer return window for unopened items.
35,Ras Al-Khaimah,31-35,Male,Less than 200 Dhs,Entrepreneur,Every 3 months,No significant change in income,Somewhat important,Often,Completely,"Yes, sometimes",Always,Often,Moderately,Rarely,Very important,Never,Neutral,Often,I buy products mostly based on social or professional obligations and expectations as gifts to people. (Obligati),"I spend more on luxury items, including perfumes and beauty products.",I get excited and want to try them immediately.,4,Online-to-store pickup and fair pricing.,Personalized engraving for gifts.,Improve stock updates online.
36,Dubai,Under 21,Female,400–800 Dhs,Unemployed,Yearly,A sudden increase in income,Extremely important,Never,Completely,"No, not often",Often,Sometimes,Very much,Often,Extremely important,Often,Neutral,Never,"I appreciate luxury and am willing to invest in premium, high-quality products. (Luxe Enthusiasts)","I spend more on luxury items, including perfumes and beauty products.",I get excited and want to try them immediately.,2,Fast checkout and loyalty rewards.,Refill options and eco-friendly packaging.,Offer student and family bundles.
37,Abu Dhabi,21-25,Male,800 Dhs and above,Education,Weekly,A decrease in disposable income,Very important,Rarely,Completely,"Yes, sometimes",Never,Often,Moderately,Often,Extremely important,Always,Neutral,Rarely,"I prioritize convenience and prefer quick, hassle-free shopping experiences. (Seamless Shoppers)","I spend more on luxury items, including perfumes and beauty products.",I get excited and want to try them immediately.,2,Product variety and staff knowledge.,Workshops on layering scents.,Offer student and family bundles.
38,Dubai,Over 50,Female,400–800 Dhs,Customer Service and Sales,Weekly,A change in employment status,Somewhat important,Sometimes,Completely,"Yes, always",Rarely,Rarely,Slightly,Sometimes,Neutral,Always,Neutral,Always,I enjoy occasional splurges on high-end products but look for discounts or value. (Aspirational Splurgers),I increase my spending slightly but remain cautious.,I rarely pay attention to new launches.,4,Authentic brands and easy returns.,Workshops on layering scents.,More samples with purchases.
39,Dubai,21-25,Male,400–800 Dhs,Entrepreneur,Weekly,A change in employment status,Extremely important,Often,Moderately,Neutral,Rarely,Sometimes,Completely,Always,Extremely important,Never,Neutral,Sometimes,I look for unique or exotic fragrances and products that stand out and feel rare. (Exotica Seekers),"I spend more on luxury items, including perfumes and beauty products.",I wait for reviews before making a purchase.,2,Authentic brands and easy returns.,More niche fragrance houses.,Improve stock updates online.
40,Dubai,21-25,Male,400–800 Dhs,Banking and Finance,Monthly,No significant change in income,Neutral,Often,Moderately,Neutral,Often,Sometimes,Very much,Sometimes,Not important at all,Never,Neutral,Sometimes,I buy products mostly based on social or professional obligations and expectations as gifts to people. (Obligati),I save most of my income and spend cautiously.,I wait for reviews before making a purchase.,4,Convenient location and parking.,Personalized engraving for gifts.,Improve stock updates online.
41,Dubai,Under 21,Female,800 Dhs and above,Health,Monthly,A sudden increase in income,Neutral,Often,Very much,"Yes, sometimes",Always,Always,Not at all,Often,Not important at all,Sometimes,Somewhat important,Sometimes,"I enjoy exploring niche, artisanal, or unique products that showcase craftsmanship. (Refined Connoisseurs)",I increase my spending slightly but remain cautious.,I rarely pay attention to new launches.,3,Authentic brands and easy returns.,Personalized engraving for gifts.,Improve stock updates online.
42,Abu Dhabi,21-25,Male,800 Dhs and above,General Employee,Monthly,A sudden increase in income,Somewhat important,Rarely,Moderately,Neutral,Sometimes,Rarely,Moderately,Always,Somewhat important,Always,Extremely important,Sometimes,"I value understated elegance and focus on quality, but I don’t spend as much as I used to. (Sprezzatura)",I increase my spending slightly but remain cautious.,I only buy if the product is aligned with my preferences and budget.,4,Convenient location and parking.,More niche fragrance houses.,Longer return window for unopened items.
43,Dubai,Under 21,Female,400–800 Dhs,Banking and Finance,Every 6 months,A change in employment status,Neutral,Always,Very much,"Yes, always",Never,Always,Moderately,Often,Somewhat important,Often,Very important,Always,"I prioritize convenience and prefer quick, hassle-free shopping experiences. (Seamless Shoppers)","I spend more on luxury items, including perfumes and beauty products.",I get excited and want to try them immediately.,3,Convenient location and parking.,Personalized engraving for gifts.,Longer return window for unopened items.
44,Dubai,21-25,Male,400–800 Dhs,Self-employed,Monthly,A decrease in disposable income,Somewhat important,Always,Not at all,"Yes, sometimes",Always,Rarely,Completely,Always,Extremely important,Never,Not important at all,Sometimes,"I prioritize convenience and prefer quick, hassle-free shopping experiences. (Seamless Shoppers)",I increase my spending slightly but remain cautious.,I only buy if the product is aligned with my preferences and budget.,3,Exclusive releases and tester availability.,Workshops on layering scents.,Longer return window for unopened items.
45,Dubai,21-25,Male,800 Dhs and above,Marketing / Media,Monthly,No significant change in income,Somewhat important,Often,Very much,"No, never",Often,Sometimes,Slightly,Often,Not important at all,Rarely,Not important at all,Sometimes,"I enjoy exploring niche, artisanal, or unique products that showcase craftsmanship. (Refined Connoisseurs)","I spend more on luxury items, including perfumes and beauty products.",I wait for reviews before making a purchase.,2,Authentic brands and easy returns.,Personalized engraving for gifts.,Add WhatsApp virtual consultations.
46,Ras Al-Khaimah,36–40,Male,200-400 Dhs,Self-employed,Monthly,No significant change in income,Extremely important,Never,Completely,"Yes, always",Sometimes,Often,Not at all,Always,Extremely important,Sometimes,Not important at all,Never,"I enjoy exploring niche, artisanal, or unique products that showcase craftsmanship. (Refined Connoisseurs)",I increase my spending slightly but remain cautious.,I wait for reviews before making a purchase.,3,Convenient location and parking.,Workshops on layering scents.,Offer student and family bundles.
47,Dubai,31-35,Female,800 Dhs and above,Self-employed,Monthly,No significant change in income,Neutral,Always,Slightly,Neutral,Always,Never,Completely,Always,Extremely important,Often,Not important at all,Often,"I prioritize convenience and prefer quick, hassle-free shopping experiences. (Seamless Shoppers)",I increase my spending slightly but remain cautious.,I only buy if the product is aligned with my preferences and budget.,2,Online-to-store pickup and fair pricing.,Workshops on layering scents.,Extend loyalty tiers with birthday perks.
48,Ajman,21-25,Male,400–800 Dhs,Health,Every 6 months,No significant change in income,Extremely important,Sometimes,Slightly,Neutral,Sometimes,Always,Very much,Often,Somewhat important,Always,Very important,Sometimes,I am always looking for the best deals and prioritize affordability in my purchases. (Value Hunters),"I spend more on luxury items, including perfumes and beauty products.",I only buy if the product is aligned with my preferences and budget.,4,Product variety and staff knowledge.,Personalized engraving for gifts.,Add WhatsApp virtual consultations.
49,Ras Al-Khaimah,31-35,Male,400–800 Dhs,Unemployed,Monthly,A decrease in disposable income,Very important,Sometimes,Completely,"Yes, always",Rarely,Sometimes,Slightly,Often,Not important at all,Never,Not important at all,Often,I look for unique or exotic fragrances and products that stand out and feel rare. (Exotica Seekers),I increase my spending slightly but remain cautious.,I only buy if the product is aligned with my preferences and budget.,2,Product variety and staff knowledge.,Workshops on layering scents.,Offer student and family bundles.
50,Abu Dhabi,21-25,Female,800 Dhs and above,Self-employed,Weekly,A decrease in disposable income,Neutral,Often,Not at all,Neutral,Rarely,Always,Not at all,Always,Very important,Never,Neutral,Often,I prefer trusted brands and products that are familiar and reliable. (Dependables),I increase my spending slightly but remain cautious.,I only buy if the product is aligned with my preferences and budget.,2,Fast checkout and loyalty rewards.,More niche fragrance houses.,Add WhatsApp virtual consultations.
51,Dubai,31-35,Male,400–800 Dhs,General Employee,Every 6 months,A sudden increase in income,Somewhat important,Always,Not at all,Neutral,Sometimes,Sometimes,Very much,Often,Somewhat important,Always,Somewhat important,Often,I enjoy occasional splurges on high-end products but look for discounts or value. (Aspirational Splurgers),"I spend more on luxury items, including perfumes and beauty products.",I get excited and want to try them immediately.,2,Authentic brands and easy returns.,Personalized engraving for gifts.,More samples with purchases.
52,Dubai,21-25,Male,400–800 Dhs,Marketing / Media,Every 3 months,A sudden increase in income,Neutral,Rarely,Completely,"Yes, sometimes",Always,Often,Moderately,Always,Extremely important,Sometimes,Neutral,Often,I am always looking for the best deals and prioritize affordability in my purchases. (Value Hunters),"I spend more on luxury items, including perfumes and beauty products.",I only buy if the product is aligned with my preferences and budget.,3,Product variety and staff knowledge.,Personalized engraving for gifts.,Add WhatsApp virtual consultations.
53,Dubai,36–40,Male,800 Dhs and above,General Employee,Every 3 months,A sudden increase in income,Somewhat important,Often,Slightly,"No, never",Never,Often,Very much,Often,Not important at all,Often,Somewhat important,Often,I prefer trusted brands and products that are familiar and reliable. (Dependables),"I spend more on luxury items, including perfumes and beauty products.",I get excited and want to try them immediately.,2,Online-to-store pickup and fair pricing.,Workshops on layering scents.,Longer return window for unopened items.
54,Dubai,41-50,Female,800 Dhs and above,Banking and Finance,Monthly,A change in employment status,Somewhat important,Always,Slightly,"Yes, sometimes",Often,Often,Slightly,Sometimes,Neutral,Often,Neutral,Rarely,"I spend more on perfumes and cosmetics after a rise in income or financial improvements, as a sign of reaching a new status. (Ascent Beautifiers)","I spend more on luxury items, including perfumes and beauty products.",I only buy if the product is aligned with my preferences and budget.,5,Product variety and staff knowledge.,Travel-size discovery sets.,More samples with purchases.
55,Dubai,36–40,Male,200-400 Dhs,General Employee,Every 3 months,A decrease in disposable income,Very important,Sometimes,Completely,"Yes, sometimes",Often,Always,Very much,Sometimes,Very important,Always,Not important at all,Rarely,I am always looking for the best deals and prioritize affordability in my purchases. (Value Hunters),I increase my spending slightly but remain cautious.,I get excited and want to try them immediately.,1,Product variety and staff knowledge.,More niche fragrance houses.,Longer return window for unopened items.
56,Abu Dhabi,26-30,Male,400–800 Dhs,Banking and Finance,Monthly,No significant change in income,Neutral,Often,Slightly,"Yes, always",Sometimes,Sometimes,Moderately,Often,Extremely important,Sometimes,Extremely important,Always,I enjoy occasional splurges on high-end products but look for discounts or value. (Aspirational Splurgers),I save most of my income and spend cautiously.,I rarely pay attention to new launches.,3,Fast checkout and loyalty rewards.,Travel-size discovery sets.,Extend loyalty tiers with birthday perks.
57,Abu Dhabi,31-35,Male,800 Dhs and above,Entrepreneur,Every 3 months,A change in employment status,Somewhat important,Often,Completely,"Yes, sometimes",Sometimes,Rarely,Moderately,Often,Somewhat important,Always,Very important,Rarely,I prefer trusted brands and products that are familiar and reliable. (Dependables),I increase my spending slightly but remain cautious.,I rarely pay attention to new launches.,3,Fast checkout and loyalty rewards.,Personalized engraving for gifts.,Extend loyalty tiers with birthday perks.
58,Ras Al-Khaimah,Over 50,Female,200-400 Dhs,Health,Every 3 months,No significant change in income,Neutral,Always,Moderately,"Yes, sometimes",Often,Sometimes,Moderately,Always,Not important at all,Often,Somewhat important,Sometimes,I enjoy occasional splurges on high-end products but look for discounts or value. (Aspirational Splurgers),"I spend more on luxury items, including perfumes and beauty products.",I rarely pay attention to new launches.,2,Authentic brands and easy returns.,Workshops on layering scents.,Improve stock updates online.
59,Sharjah,26-30,Male,800 Dhs and above,General Employee,Monthly,A sudden increase in income,Not important at all,Often,Very much,"Yes, sometimes",Often,Sometimes,Completely,Sometimes,Very important,Rarely,Very important,Sometimes,I buy products mostly based on social or professional obligations and expectations as gifts to people. (Obligati),I save most of my income and spend cautiously.,I only buy if the product is aligned with my preferences and budget.,3,Product variety and staff knowledge.,Personalized engraving for gifts.,Longer return window for unopened items.
60,Ras Al-Khaimah,26-30,Female,800 Dhs and above,Education,Every 3 months,A change in employment status,Neutral,Always,Completely,"No, not often",Often,Sometimes,Not at all,Rarely,Somewhat important,Always,Very important,Sometimes,I look for unique or exotic fragrances and products that stand out and feel rare. (Exotica Seekers),I save most of my income and spend cautiously.,I wait for reviews before making a purchase.,1,Exclusive releases and tester availability.,More niche fragrance houses.,Longer return window for unopened items.
61,Abu Dhabi,36–40,Male,200-400 Dhs,Health,Monthly,No significant change in income,Somewhat important,Never,Moderately,"No, not often",Never,Sometimes,Very much,Sometimes,Not important at all,Never,Neutral,Rarely,"I value understated elegance and focus on quality, but I don’t spend as much as I used to. (Sprezzatura)",I save most of my income and spend cautiously.,I get excited and want to try them immediately.,3,Exclusive releases and tester availability.,Personalized engraving for gifts.,Extend loyalty tiers with birthday perks.
