ID,Q1_Emirate,Q2_Age Group,Q3_Gender,Q4_Monthly Disposable Income for Perfumes,Q5_Occupation,Q6_Shopping Frequency,Q7_Recent Change,Q8_Price Importance,Q9_Seek Discounts,Q10_Quality Influence,Q11_Pay More For Quality,Q12_Ingredient Attention,Q13_Drawn To Specific Ingredients,Q14_Social Recommendation Effect,Q15_Align With Expectations,Q16_Brand Image Importance,Q17_Prefer Trusted Brands,Q18_Convenience Importance,Q19_Prefer Online Shopping,Q20_Shopping Style Persona Anchor,Q21_Reaction To Income Increase,Q22_Reaction To New Launches,Q23_Influencer Purchase Likelihood,Q24_Store Decision Factor,Q25_Requested Products/Services,Q26_Additional Feedback
11,Ajman,26-30,Female,200-400 Dhs,Law,Yearly,"A change in employment status (e.g., from unemployed to employed)",Slightly important,Sometimes,Neutral,"No, not often",Completely,Very much,Not at all,Always,Neutral,Rarely,Very much,Always,"I enjoy exploring niche, artisanal, or unique products that showcase craftsmanship. (Refined Connoisseurs)",I save most of my income and spend cautiously.,I wait for reviews before making a purchase.,2,Convenient location and parking.,Refill options and eco-friendly packaging.,Longer return window for unopened items.
12,Umm Al Quwain,41-50,Prefer not to say,200-400 Dhs,Banking and Finance,Every 3 months,"A change in employment status (e.g., from unemployed to employed)",Not important at all,Always,Completely,"No, not often",Neutral,Always,Slightly important,Sometimes,Slightly important,Often,Extremely important,Sometimes,I enjoy occasional splurges on high-end products but look for discounts or value. (Aspirational Splurgers),"I spend more on luxury items, including perfumes and beauty products.",I only buy if the product is aligned with my preferences and budget.,3,Fast checkout and loyalty rewards.,Travel-size discovery sets.,Price match guarantee would help.
13,Dubai,41-50,Prefer not to say,200-400 Dhs,Self-employed,Yearly,"A change in employment status (e.g., from unemployed to employed)",Not at all,Rarely,Slightly important,"Yes, always",Completely,Sometimes,Very much,Never,Slightly,Never,Neutral,Never,I prefer trusted brands and products that are familiar and reliable. (Dependables),I save most of my income and spend cautiously.,I wait for reviews before making a purchase.,1,Exclusive releases and tester availability.,Offer student and family bundles.,More sample packs with purchases.
14,Sharjah,21-25,Male,Less than 200 Dhs,Unemployed,Every 3 months,"A change in employment status (e.g., from unemployed to employed)",Not at all,Rarely,Not important at all,"Yes, always",Slightly important,Often,Very much,Always,Not important at all,Rarely,Very much,Sometimes,I look for unique or exotic fragrances and products that stand out and feel rare. (Exotica Seekers),"I spend more on luxury items, including perfumes and beauty products.",I get excited and want to try them immediately.,3,Fast checkout and loyalty rewards.,Add WhatsApp virtual consultations.,More Arabic/local niche brands.
15,Abu Dhabi,Under 21,Female,200-400 Dhs,Customers Service and Sales,Every 6 months,No significant change in income,Not important at all,Sometimes,Neutral,Neutral,Moderately,Not at all,Not important at all,Sometimes,Extremely important,Rarely,Not important at all,Often,"I spend more on perfumes and cosmetics after a rise in income or financial improvements, as a sign of reaching a new status. (Ascent Beautifiers)",I save most of my income and spend cautiously.,I get excited and want to try them immediately.,2,Fast checkout and loyalty rewards.,Add WhatsApp virtual consultations.,More sample packs with purchases.
16,Umm Al Quwain,31-35,Male,800 Dhs and above,Health,Yearly,"A change in employment status (e.g., from unemployed to employed)",Moderately,Often,Completely,"No, not often",Very important,Never,Not at all,Always,Slightly,Sometimes,Slightly important,Never,I buy products mostly based on social or professional obligations and expectations as gifts to people. (Obligati),I increase my spending slightly but remain cautious.,I only buy if the product is aligned with my preferences and budget.,1,Authentic brands and easy returns.,Refill options and eco-friendly packaging.,More sample packs with purchases.
17,Ras Al-Khaimah,41-50,Female,Less than 200 Dhs,Banking and Finance,In Eids and seasons,"A sudden increase in income (e.g., a raise, bonus, or new job)",Slightly,Never,Very important,Neutral,Slightly important,Completely,Slightly important,Always,Very much,Always,Slightly,Often,I buy products mostly based on social or professional obligations and expectations as gifts to people. (Obligati),"I spend more on luxury items, including perfumes and beauty products.",I wait for reviews before making a purchase.,1,Fast checkout and loyalty rewards.,Travel-size discovery sets.,More sample packs with purchases.
18,Fujairah,31-35,Female,800 Dhs and above,Engineering,Weekly,"A change in employment status (e.g., from unemployed to employed)",Not at all,Always,Not important at all,"Yes, sometimes",Moderately,Not at all,Not important at all,Often,Very important,Rarely,Extremely important,Sometimes,I prefer trusted brands and products that are familiar and reliable. (Dependables),I increase my spending slightly but remain cautious.,I only buy if the product is aligned with my preferences and budget.,3,Convenient location and parking.,Travel-size discovery sets.,More Arabic/local niche brands.
19,Sharjah,36–40,Female,200-400 Dhs,Entrepreneur,Every 3 months,A decrease in disposable income,Very much,Never,Completely,"No, not often",Slightly,Sometimes,Very important,Often,Neutral,Never,Neutral,Always,"I prioritize convenience and prefer quick, hassle-free shopping experiences. (Seamless Shoppers)",I increase my spending slightly but remain cautious.,I only buy if the product is aligned with my preferences and budget.,3,Fast checkout and loyalty rewards.,Offer student and family bundles.,Longer return window for unopened items.
20,Abu Dhabi,Under 21,Prefer not to say,800 Dhs and above,Entrepreneur,Monthly,No significant change in income,Neutral,Sometimes,Completely,"Yes, always",Neutral,Rarely,Extremely important,Always,Slightly,Always,Neutral,Never,"I spend more on perfumes and cosmetics after a rise in income or financial improvements, as a sign of reaching a new status. (Ascent Beautifiers)",I increase my spending slightly but remain cautious.,I rarely pay attention to new launches.,5,Authentic brands and easy returns.,Offer student and family bundles.,More Arabic/local niche brands.
