Q1_Emirate,Q2_Age Group,Q3_Gender,Q4_Monthly DisposableI ncome for Perfumes,Q5_Occupation,Q6_Shopping Frequency,Q7_Recent Change,Q8_Price Importance,Q9_Seek Discounts,Q18_Convenience Importance,Q19_Prefer Online Shopping,Q10_Quality Influence,Q11_Pay More For Quality,Q12_Ingredient Attention,Q13_Drawn To Specific Ingredients,Q14_Social Recommendation Effect,Q15_Align With Expectations,Q23_Influencer Purchase Likelihood,Q16_Brand Image Importance,Q17_Prefer Trusted Brands,Q22_Reaction To New Launches,Q20_Shopping Style Persona Anchor
Abu Dhabi,26-30,Male,Less than 200 Dhs,Education,Monthly,"A change in employment status (e.g., from unemployed to employed)",Completely,Always,Neutral,Sometimes,Very important,Neutral,Moderately,Slightly,Neutral,Neutral,3,Neutral,Sometimes,I only buy if the product is aligned with my preferences and budget.,I ... ( Sprezzatura )
Abu Dhabi,36–40,Prefer not to say,200-400 Dhs,Entrepreneur,Monthly,"A sudden increase in income (e.g., a raise, bonus, or new job)",Completely,Always,Neutral,Sometimes,Not at all,"No, not often",Slightly important,Slightly,Not important at all,Not important at all,1,Neutral,Sometimes,I wait for reviews before making a purchase.,I ... ( Value Hunters )
Fujairah,36–40,Prefer not to say,400–800 Dhs,Education,Monthly,No significant change in income,Moderately,Rarely,Slightly important,Rarely,Completely,"Yes, always",Not at all,Not at all,Extremely important,Completely,4,Extremely important,Always,I wait for reviews before making a purchase.,I ... ( Aspirational Splurgers )
Dubai,21-25,Prefer not to say,Less than 200 Dhs,Self-employed,Weekly,No significant change in income,Neutral,Rarely,Slightly important,Rarely,Very important,"Yes, always",Extremely important,Extremely important,Not at all,Not at all,1,Moderately,Sometimes,I wait for reviews before making a purchase.,I ... ( Refined Connoisseurs )
Sharjah,31-35,Prefer not to say,400–800 Dhs,Senior & Managerial positions,Monthly,"A change in employment status (e.g., from unemployed to employed)",Completely,Always,Moderately,Rarely,Not at all,"No, not often",Slightly,Slightly important,Not at all,Not at all,1,Moderately,Rarely,I wait for reviews before making a purchase.,I ... ( Value Hunters )
Abu Dhabi,36–40,Prefer not to say,800 Dhs and above,Marketing / Media,In Eids and seasons,"A sudden increase in income (e.g., a raise, bonus, or new job)",Slightly important,Rarely,Not important at all,Never,Slightly important,"No, not often",Extremely important,Extremely important,Not important at all,Not at all,1,Not at all,Never,I rarely pay attention to new launches.,I ... ( Exotica Seekers )
Ras Al-Khaimah,31-35,Male,800 Dhs and above,Health,Every 3 months,"A change in employment status (e.g., from unemployed to employed)",Extremely important,Always,Slightly important,Sometimes,Not important at all,"No, not often",Slightly important,Slightly important,Not at all,Not at all,1,Neutral,Sometimes,I only buy if the product is aligned with my preferences and budget.,I ... ( Value Hunters )
Abu Dhabi,31-35,Male,400–800 Dhs,Self-employed,Every 6 months,No significant change in income,Very important,Sometimes,Slightly,Sometimes,Neutral,"No, not often",Not at all,Slightly,Neutral,Neutral,4,Completely,Always,I get excited and want to try them immediately.,I ... ( Dependables )
Abu Dhabi,36–40,Male,200-400 Dhs,Marketing / Media,In Eids and seasons,"A change in employment status (e.g., from unemployed to employed)",Very much,Often,Neutral,Sometimes,Slightly important,Neutral,Not important at all,Not at all,Very much,Very much,4,Extremely important,Always,I get excited and want to try them immediately.,I ... ( Dependables )
Dubai,Over 50,Male,800 Dhs and above,Retired,In Eids and seasons,"A sudden increase in income (e.g., a raise, bonus, or new job)",Slightly important,Sometimes,Extremely important,Always,Very much,Neutral,Moderately,Neutral,Slightly important,Slightly,3,Neutral,Rarely,I wait for reviews before making a purchase.,I ... ( Seamless Shoppers )
Umm Al Quwain,Over 50,Prefer not to say,200-400 Dhs,General Emoloyee,In Eids and seasons,"A sudden increase in income (e.g., a raise, bonus, or new job)",Extremely important,Always,Neutral,Rarely,Not at all,"No, not often",Slightly,Slightly,Not at all,Not important at all,2,Moderately,Rarely,I wait for reviews before making a purchase.,I ... ( Value Hunters )
Abu Dhabi,36–40,Prefer not to say,Less than 200 Dhs,Health,Monthly,No significant change in income,Slightly important,Rarely,Neutral,Sometimes,Extremely important,"Yes, always",Not important at all,Not at all,Extremely important,Completely,5,Extremely important,Always,I get excited and want to try them immediately.,I ... ( Aspirational Splurgers )
Ras Al-Khaimah,26-30,Female,400–800 Dhs,Banking and Finance,Every 3 months,"A sudden increase in income (e.g., a raise, bonus, or new job)",Extremely important,Always,Very much,Sometimes,Not at all,"No, never",Not important at all,Slightly,Not important at all,Not important at all,1,Slightly important,Sometimes,I wait for reviews before making a purchase.,I ... ( Value Hunters )
Abu Dhabi,41-50,Prefer not to say,Less than 200 Dhs,Self-employed,In Eids and seasons,No significant change in income,Completely,Always,Slightly important,Rarely,Not important at all,"No, never",Slightly important,Slightly,Slightly,Not at all,1,Slightly,Rarely,I only buy if the product is aligned with my preferences and budget.,I ... ( Value Hunters )
Fujairah,26-30,Prefer not to say,Less than 200 Dhs,Retired,Yearly,No significant change in income,Neutral,Sometimes,Not at all,Rarely,Slightly,"No, not often",Completely,Completely,Not important at all,Not at all,1,Not important at all,Never,I rarely pay attention to new launches.,I ... ( Exotica Seekers )
Fujairah,36–40,Prefer not to say,200-400 Dhs,Banking and Finance,Every 6 months,"A sudden increase in income (e.g., a raise, bonus, or new job)",Extremely important,Always,Slightly,Rarely,Not important at all,"No, never",Slightly,Slightly important,Not important at all,Slightly important,1,Slightly,Rarely,I wait for reviews before making a purchase.,I ... ( Value Hunters )
Fujairah,36–40,Prefer not to say,400–800 Dhs,Entrepreneur,Yearly,"A sudden increase in income (e.g., a raise, bonus, or new job)",Extremely important,Often,Slightly important,Sometimes,Slightly important,"No, never",Slightly,Slightly,Not at all,Not important at all,1,Slightly important,Sometimes,I only buy if the product is aligned with my preferences and budget.,I ... ( Value Hunters )
Ajman,Under 21,Prefer not to say,400–800 Dhs,Retired,Monthly,"A sudden increase in income (e.g., a raise, bonus, or new job)",Extremely important,Always,Very important,Sometimes,Extremely important,"Yes, always",Very much,Very much,Slightly important,Slightly important,2,Slightly important,Never,I rarely pay attention to new launches.,I ... ( Ascent Beautifiers )
Sharjah,26-30,Female,400–800 Dhs,Banking and Finance,Yearly,A decrease in disposable income,Extremely important,Always,Moderately,Rarely,Not important at all,"No, never",Slightly important,Slightly,Not important at all,Not important at all,1,Neutral,Rarely,I wait for reviews before making a purchase.,I ... ( Value Hunters )
Ras Al-Khaimah,21-25,Female,800 Dhs and above,Retired,Every 3 months,No significant change in income,Moderately,Sometimes,Slightly,Rarely,Completely,"Yes, always",Completely,Extremely important,Not at all,Not important at all,1,Very much,Always,I wait for reviews before making a purchase.,I ... ( Luxe Enthusiasts )
Abu Dhabi,Under 21,Male,400–800 Dhs,Retired,Weekly,"A change in employment status (e.g., from unemployed to employed)",Extremely important,Always,Slightly important,Sometimes,Slightly important,"No, never",Slightly important,Not important at all,Not at all,Not at all,1,Slightly,Sometimes,I wait for reviews before making a purchase.,I ... ( Value Hunters )
Sharjah,21-25,Prefer not to say,Less than 200 Dhs,Customers Service and Sales,Weekly,A decrease in disposable income,Completely,Always,Neutral,Rarely,Not at all,"No, not often",Slightly important,Slightly,Not at all,Not at all,1,Slightly,Rarely,I only buy if the product is aligned with my preferences and budget.,I ... ( Value Hunters )
Sharjah,31-35,Prefer not to say,400–800 Dhs,Health,Every 3 months,No significant change in income,Completely,Always,Slightly,Rarely,Not important at all,"No, not often",Slightly important,Not important at all,Not important at all,Not important at all,1,Neutral,Sometimes,I wait for reviews before making a purchase.,I ... ( Value Hunters )
Abu Dhabi,36–40,Female,800 Dhs and above,Self-employed,In Eids and seasons,No significant change in income,Completely,Always,Slightly important,Rarely,Slightly important,"No, not often",Slightly,Slightly important,Not at all,Not at all,2,Moderately,Rarely,I wait for reviews before making a purchase.,I ... ( Value Hunters )
Ajman,26-30,Male,400–800 Dhs,Education,Every 6 months,"A sudden increase in income (e.g., a raise, bonus, or new job)",Slightly important,Rarely,Extremely important,Always,Moderately,Neutral,Very important,Neutral,Neutral,Slightly important,3,Neutral,Rarely,I only buy if the product is aligned with my preferences and budget.,I ... ( Seamless Shoppers )
Fujairah,21-25,Prefer not to say,Less than 200 Dhs,Self-employed,Every 3 months,"A change in employment status (e.g., from unemployed to employed)",Completely,Always,Slightly important,Sometimes,Not important at all,"No, never",Slightly important,Slightly important,Not at all,Not at all,1,Slightly,Sometimes,I wait for reviews before making a purchase.,I ... ( Value Hunters )
Ajman,Over 50,Male,800 Dhs and above,Self-employed,Weekly,A decrease in disposable income,Completely,Always,Very important,Sometimes,Completely,"Yes, sometimes",Very much,Very much,Slightly important,Not at all,3,Not important at all,Rarely,I rarely pay attention to new launches.,I ... ( Ascent Beautifiers )
Umm Al Quwain,31-35,Female,Less than 200 Dhs,Education,Monthly,"A change in employment status (e.g., from unemployed to employed)",Extremely important,Always,Moderately,Sometimes,Not important at all,"No, not often",Slightly,Slightly,Not important at all,Not important at all,1,Slightly,Sometimes,I wait for reviews before making a purchase.,I ... ( Value Hunters )
Ajman,21-25,Prefer not to say,400–800 Dhs,General Emoloyee,Weekly,No significant change in income,Very much,Often,Moderately,Rarely,Moderately,"No, not often",Not at all,Not important at all,Very important,Very much,4,Completely,Always,I get excited and want to try them immediately.,I ... ( Dependables )
Ajman,36–40,Prefer not to say,200-400 Dhs,Marketing / Media,Monthly,No significant change in income,Slightly,Rarely,Completely,Always,Neutral,Neutral,Neutral,Neutral,Slightly,Slightly,2,Moderately,Sometimes,I only buy if the product is aligned with my preferences and budget.,I ... ( Seamless Shoppers )
Fujairah,41-50,Male,Less than 200 Dhs,Customers Service and Sales,Weekly,"A change in employment status (e.g., from unemployed to employed)",Moderately,Rarely,Slightly,Never,Extremely important,"Yes, always",Very important,Extremely important,Not important at all,Not at all,2,Moderately,Sometimes,I wait for reviews before making a purchase.,I ... ( Refined Connoisseurs )
Ajman,Over 50,Prefer not to say,Less than 200 Dhs,Self-employed,In Eids and seasons,A decrease in disposable income,Very much,Often,Neutral,Sometimes,Moderately,Neutral,Moderately,Moderately,Extremely important,Extremely important,5,Very important,Sometimes,I get excited and want to try them immediately.,I ... ( Obligati )
Dubai,41-50,Male,Less than 200 Dhs,Customers Service and Sales,Every 3 months,"A change in employment status (e.g., from unemployed to employed)",Moderately,Sometimes,Not at all,Never,Slightly,"No, not often",Completely,Extremely important,Not important at all,Not at all,1,Not at all,Never,I rarely pay attention to new launches.,I ... ( Exotica Seekers )
Umm Al Quwain,Under 21,Prefer not to say,400–800 Dhs,Entrepreneur,Weekly,"A change in employment status (e.g., from unemployed to employed)",Very important,Often,Slightly,Sometimes,Moderately,"Yes, sometimes",Moderately,Slightly,Extremely important,Extremely important,5,Very much,Sometimes,I get excited and want to try them immediately.,I ... ( Obligati )
Ajman,Over 50,Prefer not to say,400–800 Dhs,Banking and Finance,Monthly,"A sudden increase in income (e.g., a raise, bonus, or new job)",Moderately,Sometimes,Neutral,Sometimes,Completely,"Yes, always",Not at all,Slightly important,Completely,Completely,5,Extremely important,Always,I get excited and want to try them immediately.,I ... ( Aspirational Splurgers )
Sharjah,Over 50,Prefer not to say,800 Dhs and above,Law,In Eids and seasons,"A sudden increase in income (e.g., a raise, bonus, or new job)",Very important,Often,Slightly important,Rarely,Moderately,"Yes, sometimes",Slightly important,Moderately,Very much,Completely,5,Neutral,Sometimes,I get excited and want to try them immediately.,I ... ( Obligati )
Ras Al-Khaimah,26-30,Female,800 Dhs and above,Law,Weekly,"A sudden increase in income (e.g., a raise, bonus, or new job)",Very important,Often,Slightly important,Sometimes,Moderately,"No, not often",Slightly,Not important at all,Neutral,Very important,4,Extremely important,Always,I get excited and want to try them immediately.,I ... ( Dependables )
Ras Al-Khaimah,31-35,Male,400–800 Dhs,Law,Monthly,"A sudden increase in income (e.g., a raise, bonus, or new job)",Slightly,Rarely,Slightly important,Rarely,Completely,"Yes, always",Slightly important,Not at all,Extremely important,Completely,5,Extremely important,Always,I get excited and want to try them immediately.,I ... ( Aspirational Splurgers )
Dubai,36–40,Male,200-400 Dhs,Self-employed,Weekly,"A sudden increase in income (e.g., a raise, bonus, or new job)",Very much,Always,Slightly,Sometimes,Moderately,Neutral,Not at all,Not at all,Very important,Very much,4,Extremely important,Always,I get excited and want to try them immediately.,I ... ( Dependables )
Ras Al-Khaimah,Over 50,Prefer not to say,200-400 Dhs,Marketing / Media,Weekly,"A change in employment status (e.g., from unemployed to employed)",Moderately,Rarely,Slightly important,Rarely,Extremely important,"Yes, always",Completely,Very important,Slightly important,Slightly important,1,Very much,Often,I wait for reviews before making a purchase.,I ... ( Luxe Enthusiasts )
Ras Al-Khaimah,41-50,Prefer not to say,Less than 200 Dhs,Self-employed,Yearly,A decrease in disposable income,Slightly important,Sometimes,Not at all,Never,Slightly important,"No, not often",Completely,Completely,Not important at all,Not important at all,1,Not at all,Never,I only buy if the product is aligned with my preferences and budget.,I ... ( Exotica Seekers )
Ras Al-Khaimah,26-30,Male,400–800 Dhs,Marketing / Media,In Eids and seasons,A decrease in disposable income,Completely,Always,Neutral,Often,Completely,"Yes, always",Very important,Very important,Slightly important,Slightly,3,Not at all,Rarely,I only buy if the product is aligned with my preferences and budget.,I ... ( Ascent Beautifiers )
Dubai,Under 21,Prefer not to say,400–800 Dhs,Self-employed,In Eids and seasons,"A sudden increase in income (e.g., a raise, bonus, or new job)",Moderately,Rarely,Completely,Always,Moderately,"Yes, sometimes",Neutral,Moderately,Neutral,Moderately,3,Moderately,Rarely,I only buy if the product is aligned with my preferences and budget.,I ... ( Seamless Shoppers )
Ras Al-Khaimah,Over 50,Female,800 Dhs and above,Unemployed,Every 3 months,No significant change in income,Moderately,Sometimes,Slightly important,Never,Extremely important,"Yes, always",Extremely important,Extremely important,Not at all,Not important at all,2,Very much,Often,I get excited and want to try them immediately.,I ... ( Luxe Enthusiasts )
Dubai,41-50,Male,Less than 200 Dhs,General Emoloyee,In Eids and seasons,No significant change in income,Slightly important,Rarely,Slightly important,Rarely,Extremely important,"Yes, always",Not at all,Not important at all,Completely,Completely,5,Completely,Always,I get excited and want to try them immediately.,I ... ( Aspirational Splurgers )
Dubai,Under 21,Male,Less than 200 Dhs,Senior & Managerial positions,In Eids and seasons,"A sudden increase in income (e.g., a raise, bonus, or new job)",Slightly,Rarely,Slightly important,Never,Slightly important,"No, not often",Completely,Extremely important,Not at all,Not important at all,2,Not at all,Never,I rarely pay attention to new launches.,I ... ( Exotica Seekers )
Ajman,41-50,Male,Less than 200 Dhs,General Emoloyee,Yearly,"A change in employment status (e.g., from unemployed to employed)",Neutral,Sometimes,Slightly important,Rarely,Extremely important,"Yes, always",Completely,Completely,Not at all,Not important at all,1,Very much,Often,I get excited and want to try them immediately.,I ... ( Luxe Enthusiasts )
Abu Dhabi,Over 50,Prefer not to say,200-400 Dhs,Entrepreneur,Monthly,"A change in employment status (e.g., from unemployed to employed)",Completely,Always,Moderately,Sometimes,Moderately,Neutral,Slightly important,Slightly,Neutral,Neutral,4,Slightly,Sometimes,I only buy if the product is aligned with my preferences and budget.,I ... ( Sprezzatura )
Ras Al-Khaimah,36–40,Male,Less than 200 Dhs,Senior & Managerial positions,Monthly,"A sudden increase in income (e.g., a raise, bonus, or new job)",Extremely important,Always,Slightly,Sometimes,Not at all,"No, not often",Slightly,Slightly,Not at all,Not important at all,1,Slightly,Sometimes,I wait for reviews before making a purchase.,I ... ( Value Hunters )
Fujairah,26-30,Prefer not to say,Less than 200 Dhs,Senior & Managerial positions,Yearly,"A change in employment status (e.g., from unemployed to employed)",Slightly important,Rarely,Not at all,Never,Slightly,"No, not often",Extremely important,Extremely important,Not important at all,Not important at all,1,Not important at all,Never,I rarely pay attention to new launches.,I ... ( Exotica Seekers )
Abu Dhabi,26-30,Male,400–800 Dhs,Retired,In Eids and seasons,No significant change in income,Neutral,Rarely,Slightly important,Rarely,Extremely important,"Yes, always",Extremely important,Extremely important,Not important at all,Not at all,2,Very much,Often,I wait for reviews before making a purchase.,I ... ( Luxe Enthusiasts )
Ajman,Over 50,Prefer not to say,Less than 200 Dhs,Entrepreneur,Weekly,"A change in employment status (e.g., from unemployed to employed)",Slightly,Sometimes,Slightly important,Sometimes,Extremely important,"Yes, always",Extremely important,Completely,Not at all,Not at all,1,Very much,Often,I get excited and want to try them immediately.,I ... ( Luxe Enthusiasts )
Abu Dhabi,21-25,Prefer not to say,Less than 200 Dhs,Education,Yearly,"A change in employment status (e.g., from unemployed to employed)",Very important,Always,Neutral,Sometimes,Completely,"Yes, always",Very much,Neutral,Slightly important,Slightly important,2,Not at all,Rarely,I rarely pay attention to new launches.,I ... ( Ascent Beautifiers )
Umm Al Quwain,36–40,Female,800 Dhs and above,Entrepreneur,In Eids and seasons,"A sudden increase in income (e.g., a raise, bonus, or new job)",Neutral,Sometimes,Very important,Always,Neutral,Neutral,Moderately,Neutral,Slightly important,Neutral,3,Slightly important,Sometimes,I only buy if the product is aligned with my preferences and budget.,I ... ( Seamless Shoppers )
Sharjah,21-25,Male,400–800 Dhs,Marketing / Media,Every 6 months,A decrease in disposable income,Extremely important,Always,Moderately,Sometimes,Slightly,"No, never",Not at all,Slightly,Not important at all,Not at all,2,Neutral,Sometimes,I wait for reviews before making a purchase.,I ... ( Value Hunters )
Dubai,41-50,Male,400–800 Dhs,Law,Monthly,"A change in employment status (e.g., from unemployed to employed)",Very much,Always,Slightly,Sometimes,Not at all,"No, never",Neutral,Slightly important,Not important at all,Not at all,1,Moderately,Rarely,I wait for reviews before making a purchase.,I ... ( Value Hunters )
Fujairah,21-25,Male,Less than 200 Dhs,Senior & Managerial positions,Monthly,"A change in employment status (e.g., from unemployed to employed)",Very important,Often,Neutral,Rarely,Very much,Neutral,Neutral,Neutral,Extremely important,Completely,5,Very much,Sometimes,I wait for reviews before making a purchase.,I ... ( Obligati )
Abu Dhabi,Under 21,Male,200-400 Dhs,Self-employed,Every 3 months,"A change in employment status (e.g., from unemployed to employed)",Completely,Always,Moderately,Sometimes,Slightly,"No, not often",Slightly important,Slightly,Not important at all,Not at all,1,Moderately,Sometimes,I only buy if the product is aligned with my preferences and budget.,I ... ( Value Hunters )
Umm Al Quwain,Under 21,Male,Less than 200 Dhs,Senior & Managerial positions,Every 3 months,No significant change in income,Completely,Always,Slightly important,Sometimes,Not important at all,"No, never",Slightly important,Slightly,Not at all,Not at all,1,Moderately,Sometimes,I wait for reviews before making a purchase.,I ... ( Value Hunters )
